url,cp,prix,etg,asc,ter,park,maj,ref,disp,gar,transp,prox,surf,const,toil,toil_sep,sdb,meuble,rang,chauf,cuis,gard,ent,calme,piece,descr,hon,tel,score_gen,nb_votes,date_last_vote,score_shop,score_rest,score_rep,score_transp,score_cult,score_neigh,score_safe,score_clean,score_calm,score_price,score_green,score_traf,score_air,score_park
http://www.seloger.com/annonces/locations/appartement/paris-7eme-75/ecole-militaire/83488875.htm,75007,1 550,rdc,N.C,non,N.C,"15 / 11 / 2013",83488875,"20 / 11 / 2013",1430partLoc. €,metro_paris:Sevres-Lecourbe,Sèvres-lecourbe,35 m²,,1,,,,,,,oui,oui,oui,2,"Place de Breteuil, dans un immeuble ancien, rez-de-chaussée sur courette d'environ 35 m² refait entièrement à neuf VIDE comprenant: une entrée, un séjour avec cuisine ouverte aménagée, une chambre et une salle d'eau avec WC.
Parquet, Gardienne, Digicode, calme.
Eau chaude et chauffage INDIVIDUEL électrique.
DPE en cours.
Disponible dès le 20 nov.","1853,80 part Loc. €","01 47 73 67 44",Exceptionnelle,14,2013/05/01,4,4,5,4,3,4,4,5,4,2,4,4,4,3
http://www.seloger.com/annonces/locations/appartement/paris-15eme-75/dupleix-motte-picquet/81100313.htm,75015,1 550,N.C,N.C,non,N.C,"14 / 11 / 2013",256,,2mois €,"metro_paris:Charles Michels",,53 m²,,,,,oui,,,,oui,,,2,"Paris IV - Front de Seine. Appartement meublé de 53m² avec une vue dégagée sur la seine se compose d'une entrée, d'un séjour, d'une chambre avec placards et débarras, d'une salle de bain, d'un dressing, d'une cuisine aménagée et équipée A proximité du nouveau centre Beaugrenelle. L'eaux chaude et chauffage collectif. Quartier en plein développement. Gardien 24H/24H. Possibilité Parking.","2669.47 ttc €","06 22 09 54 25","Très agréable",29,2013/10/17,4,4,4,4,4,3,4,4,4,3,4,3,3,3
http://www.seloger.com/annonces/locations/appartement/paris-2eme-75/vivienne-gaillon/82622261.htm,75002,1 550,5,oui,non,N.C,"15 / 11 / 2013",9196,,,metro_paris:Opera,Opéra,40 m²,,1,,,,oui,individuel...,américaine,,,,2,"PLACE DE L'OPÉRA * 2 PIÈCES MEUBLÉ ATYPIQUE * DISPONIBLE PROCHAINEMENT Au 5ème et dernier étage avec ascenseur d'un immeuble en pierre de taille, superbe appartement de 2 pièces entièrement meublé avec raffinement, comprenant séjour avec une cuisine US, poutres apparentes, une chambre à coucher avec rangements, une salle de bains et WC séparé. Tout le confort est dans cet appartement: Ecran plat, machine à laver et à sécher le linge, lave-vaisselle, réfrigérateur congélateur, plaques de cuissons en vitro céramiques et parquet au sol. INTERNET ET WIFI ILLIMITE.",1865.76 €,"06 62 04 58 30","Très agréable",8,2013/08/13,4,4,4,4,3,3,3,3,3,3,3,2,3,2
http://www.seloger.com/annonces/locations/appartement/paris-15eme-75/dupleix-motte-picquet/83374131.htm,75015,1 550,4,oui,non,N.C,"15 / 11 / 2013",51372653,,1550,"metro_paris:Bir-Hakeim (Grenelle),Dupleix","Dupleix/Bir Hakeim",54 m²,,1,,,oui,,individuel...,équipée,,oui,oui,3,"DUPLEIX/rue Desaix Appartement meublé 3 pièces 1 chambre de 53,5 m² situé dans un très bel immeuble Pierre de Taille à proximité du champs de Mars. Il est situé au 4ème étage avec ascenseur et donne entièrement sur une cour (pas de vis-à-vis, calme et lumineux). Le bien se compose d'une entrée, une salle de bains, un WC séparé, une buanderie (machine à laver et sèche linge), un double séjour, une cuisine équipée ouverte sur le double séjour et une chambre.",1550,"01 40 59 60 70","Très agréable",29,2013/10/17,4,4,4,4,4,3,4,4,4,3,4,3,3,3
http://www.seloger.com/annonces/locations/appartement/paris-8eme-75/triangle-d-or/82922527.htm,75008,1 550,5,oui,non,N.C,"13 / 11 / 2013","Champs Elysées",,3100,,,35 m²,,1,oui,,oui,oui,,américaine...,,oui,,2,"Appartement meublé situé dans un immeuble pierre de taille au 5ème étage avec ascenseur comprenant: une entrée avec placard, un séjour avec cuisine US équipée toute machine, une chambre, une salle de bains WC ainsi qu'un escalier intérieur desservant une mezzanine.
Chauffage et eau chaude immeuble.","2232 HT €","0611320398 / 0142253225","Très agréable",12,2013/05/03,3,4,4,4,3,3,4,3,3,3,3,3,3,2
http://www.seloger.com/annonces/locations/appartement/paris-15eme-75/82952011.htm,75015,1 550,rdc,non,non,N.C,"14 / 11 / 2013",3782,,,,,67 m²,,1,oui,,,,,,,,,3,"MARCHÉ Saint-CHARLES
 (location vide)
Dans immeuble récent
3 pièces en rez-de-jardin
une entrée, un séjour, deux chambres
une salle de bains, un WC séparé
 une cuisine aménagée parfait état
14 50 + 100 euros de charges
Honoraires: 2 175 euros TTC 
 (à partager entre propriétaire et locataire).",2175,"01 45 44 44 45","Très agréable",29,2013/10/17,4,4,4,4,4,3,4,4,4,3,4,3,3,3
http://www.seloger.com/annonces/locations/appartement/paris-17eme-75/pereire-malesherbes/81965965.htm,75017,1 550,3,oui,N.C,N.C,"14 / 11 / 2013",1153,,1450,"metro_paris:Malesherbes,Pereire",Pereire,46 m²,1900,1,,,,oui,central...,équipée,oui,oui,,2,"Pereire - Malesherbes Dans un immeuble Haussmanien de standing avec gardien, appartement de 46m², entièrement refait à neuf, au 3e ascenseur. Il est composé d'une entrée, séjour, chambre, cuisine équipée, salle de bains, WC séparés, nombreux rangements. Beaucoup de charme. Ligne directe visite.",1750,"06 33 98 44 42","Très agréable",36,2013/10/01,4,4,4,4,3,4,4,3,4,3,4,3,3,3
http://www.seloger.com/annonces/locations/appartement/paris-16eme-75/83322839.htm,75016,1 550,4,non,non,0,"15 / 11 / 2013",10498-3045la,,,metro_paris:Michel-Ange-Auteuil,"Michel ange auteuil",40 m²,,,,,oui,oui,,équipée,,oui,,2,"Secteur Auteuil, proche tous commerces et transports. Très bel appartement meublé, situé au 4ème étage, avec vue sur une grande cour pavée et arborée, comprenant entrée, chambre avec dressing et bureau, séjour avec écran LCD, DVD, home cinéma, nombreux rangements, cuisine équipée: lave-linge séchant. Parquet et moulures. Refait à neuf. Chauffage individuel au gaz. Paris PROMO.",2012,"01 45 63 25 60","Très agréable",45,2013/10/26,4,3,4,4,4,4,4,4,4,3,4,3,4,3
http://www.seloger.com/annonces/locations/appartement/paris-8eme-75/triangle-d-or/78711357.htm,75008,1 550,5,oui,non,N.C,"13 / 11 / 2013",Ch.Elysees,,3100,,"RER A",37 m²,,1,,,oui,oui,,coin...,oui,oui,,1,"Un double séjour meublé situé au 5ème étage avec ascenseur comprenant: une entrée, séjour double avec placards, une salle de douche avec WC, une kitchenette équipée, chauffage immeuble et eau chaude inclus dans le loyer.
Gardien 24/24.","2304 H.T €","0611320398 / 0142253225","Très agréable",12,2013/05/03,3,4,4,4,3,3,4,3,3,3,3,3,3,2
http://www.seloger.com/annonces/locations/appartement/paris-8eme-75/82530369.htm,75008,1 550,2,oui,non,0,"12 / 11 / 2013",10187,,,,,38 m²,,1,,,oui,oui,,équipée,oui,,,1,"Paris 8ème franklin roosvelt. Superbe studio en location meublée de 37 m² compose: entrée, S.DE bains marbre avec WC. Petite cuisine équipée. Placards. Belle pièce a vivre donnant sur grande baie vitrée jolies prestations. Emplacement rare. Degage. Parfait état.",1890,"01 44 43 09 09","Très agréable",12,2013/05/03,3,4,4,4,3,3,4,3,3,3,3,3,3,2
http://www.seloger.com/annonces/locations/appartement/paris-8eme-75/80337435.htm,75008,1 550,N.C,N.C,non,N.C,"13 / 11 / 2013","Franklin Roosevelt",,3100,,,35 m²,,,,,oui,,,coin...,,,,1,"Un studio meublé comprenant une pièce principale avec canapé et lit, une salle de bains en marbre, une kitchenette.","2232 HT €","0142253225 / 0611320398","Très agréable",12,2013/05/03,3,4,4,4,3,3,4,3,3,3,3,3,3,2
