url,cp,prix,etg,asc,ter,park,maj,ref,disp,gar,transp,prox,surf,const,toil,toil_sep,sdb,meuble,rang,chauf,cuis,gard,ent,calme,piece,descr,hon,tel,score_gen,nb_votes,date_last_vote,score_shop,score_rest,score_rep,score_transp,score_cult,score_neigh,score_safe,score_clean,score_calm,score_price,score_green,score_traf,score_air,score_park
http://www.seloger.com/annonces/locations/appartement/paris-6eme-75/83025743.htm,75006,2 915 ,2,oui,non,N.C,15 / 11 / 2013,83025743,,,"metro_paris:Rennes,Saint-Sulpice",,72 m²,,1,oui,,,,,équipée,,,,4,"Métro Saint-Sulpice. Rue de Rennes. Refait entièrement à neuf. Au 2ème étage avec ascenseur d'un immeuble Haussmannien pierre de taille, 4 pièces de 72 m²: Séjour double (15 et 18m²), balcon filant, 2 chambres (13 et 15m²), petite cuisine équipée (neuve), petite salle de douche (neuve), WC. Parquet moulures cheminées, chauffage individuel électrique, double fenêtres anti-bruit. Double séjour et chambre avec balcon sur rue de Rennes, la 2ème chambre est sur cour.",2915 €,06 08 32 18 03,Exceptionnelle,7,12/11/2012,5,5,5,5,5,5,5,5,4,5,4,5,4,4
http://www.seloger.com/annonces/locations/appartement/paris-6eme-75/82100581.htm,75006,2 915 ,2,oui,non,N.C,15 / 11 / 2013,82100581,,,metro_paris:Saint-Sulpice,,70 m²,,1,oui,,,,,équipée,,,,3,"Métro St Sulpice. Refait à neuf. Au 2ème étage avec ascenseur d'un immeuble ancien, 3 pièces de 70 m²: Séjour, 2 chambres, cuisine équipée, salle de bains, WC et cave. Parquet, chauffage collectif Gaz. Libre.",2915 €,06 08 32 18 03,Exceptionnelle,7,12/11/2012,5,5,5,5,5,5,5,5,4,5,4,5,4,4
http://www.seloger.com/annonces/locations/appartement/paris-6eme-75/odeon/82390951.htm,75006,2 700 ,2,oui,non,N.C,04 / 11 / 2013,Rennes/Dufour,,,"metro_paris:Rennes,Saint-Sulpice",Saint sulpice,,,1,oui,,,,,,oui,oui,,4,"Situé Rue de Rennes à proximité immédiate de la place Saint sulpice dans un Immeuble Pierre de taille. Appartement au 2ème étage de 71 m² entièrement refait à neuf comprenant une entrée, un séjour, 3 chambres, salle de bain, cuisine et WC séparés. Belles prestations, Parquet moulures et cheminées / belle hauteur sous plafond. Ascenseur, digicode, gardiennage.",,06 26 76 76 09,Exceptionnelle,7,12/11/2012,5,5,5,5,5,5,5,5,4,5,4,5,4,4
http://www.seloger.com/annonces/locations/appartement/paris-16eme-75/muette-sud/83401369.htm,75016,2 920 ,3,oui,non,N.C,15 / 11 / 2013,9238733,,2885 €,metro_paris:Ranelagh,Ranelagh,117 m²,,1,,,,,individuel...,,oui,oui,,4,"Metro Ranelagh, dans un immeuble ancien de standing, appartement en parfait état au 3ème étage avec ascenseur, se composant d'une belle entrée ouverte sur une double réception orientée Ouest, une large cuisine (possibilité récupérer mobilier du dernier occupant), deux chambres sur cour et jardin, une salle de bains et une salle d'eau, WC séparé. Une penderie. Parquet point de Hongrie, moulures, cheminées. Chauffage individuel. Gaz. Gardienne, digicode. Disponible de suite.",3320 €,01 48 00 96 32,Très agréable,45,26/10/2013,4,3,4,4,4,4,4,4,4,3,4,3,4,3
http://www.seloger.com/annonces/locations/appartement/paris-16eme-75/muette-sud/83349453.htm,75016,2 920 ,3,oui,non,0,15 / 11 / 2013,340,,,metro_paris:Ranelagh,,118 m²,,1,oui,,,,,séparée,oui,,,4,"16ème MOZART RANELAGH Grand 4 pièces 117 m² double séjour avec 3 fenêtres, 2 chambres sur jardin, cuisine indépendante, une salle de bains, une salle d'eau avec WC, WC séparés, gardien, interphone, digicode, immeuble pierre de taille de bon standing, ascenseur, parfait état, proche transports et commerces.",3200 €,01 44 75 77 77,Très agréable,45,26/10/2013,4,3,4,4,4,4,4,4,4,3,4,3,4,3
http://www.seloger.com/annonces/locations/appartement/paris-16eme-75/chaillot/83002407.htm,75016,2 786 ,2,oui,non,1,15 / 11 / 2013,boissière A21,15 / 12 / 2013,,"metro_paris:Boissiere,Victor Hugo",,81 m²,,1,oui,,,oui,,séparée,,oui,,3,"Rue Boissière - Métro Victor Hugo - Dans un immeuble neuf, au 2ème étage avec ascenseur, appartement de 81 m². Entrée, séjour avec balcon, 2 chambres, cuisine séparée vide, salle de bains, WC séparés, placards. Parquet au sol. Chauffage individuel électrique. Cave et parking.
Loyer et charges: 2786 + 137 = 2923 E.",2090 €,01 42 96 04 04,Très agréable,45,26/10/2013,4,3,4,4,4,4,4,4,4,3,4,3,4,3
http://www.seloger.com/annonces/locations/appartement/paris-9eme-75/83035001.htm,75009,2 925 ,3,oui,non,N.C,15 / 11 / 2013,L2045b,,,,,91 m²,,1,oui,,,,,,oui,,,4,"Dans un ensemble immobilier ancien de grand standing avec gardien et ascenseur, à louer un appartement rénové de 4 pièces:
- 3ème étage: 91 m²
* Entrée, un beau séjour clair, une cuisine aménagée, 3 chambres, 1 salle de bain, 1 salle d'eau, 1 sanitaire
* Placards
* Dégagements
* Parquet.",2295 €,01 53 30 09 02,Très agréable,21,07/10/2013,5,4,4,5,4,4,4,3,3,4,3,3,3,3
http://www.seloger.com/annonces/locations/appartement/paris-9eme-75/provence-opera/82919513.htm,75009,2 925 ,3,oui,non,N.C,15 / 11 / 2013,man-0600,,,"metro_paris:Madeleine,Opera",Place edouard VII,91 m²,1900,2,oui,,,,central,équipée,oui,,oui,4,"DIRECTEMENT SUR LA PLACE DU THÉÂTRE ÉDOUARD VII ""place piétonne""
Situé entre Madeleine et Opéra, dans un ensemble immobilier de grand standing construit à l'époque haussmannienne et réhabilité en 2000, au calme absolu, un superbe appartement de 4 pièces au 3ème étage entièrement refait à neuf. Le plan est compact, parquet dans tout l'appartement.
PRODUIT RARE.",,01 40 70 95 10,Très agréable,21,07/10/2013,5,4,4,5,4,4,4,3,3,4,3,3,3,3
http://www.seloger.com/annonces/locations/appartement/paris-9eme-75/provence-opera/81397025.htm,75009,2 925 ,3,oui,non,0,15 / 11 / 2013,11270-3231la,,,metro_paris:Opera,Opéra,91 m²,,2,,,,,,,,oui,,4,"Place Edouard VII, dans bel immeuble pierre de taille, au 3ème étage avec ascenseur, entrée, salon, 3 chambres, cuisine aménagée, salle de bains, salle de douches, WC, chauffage collectif. Commission agence: 2744,82 euros TTC. Fagimo n° de SIREN: 38515202000033.",,01 47 66 44 00,Très agréable,21,07/10/2013,5,4,4,5,4,4,4,3,3,4,3,3,3,3
http://www.seloger.com/annonces/locations/appartement/paris-16eme-75/muette-sud/80208587.htm,75016,2 550 ,2,oui,non,N.C,14 / 11 / 2013,227,,,"metro_paris:La Muette,Passy",La muette/passy,118 m²,,1,,,,,,équipée,oui,oui,oui,4,"Quartier ""PASSY-LA MUETTE"" au 2ème étage avec ascenseur d'un immeuble de standing, un bel appartement de 4 pièces se composant d'un grand séjour 40 m², une salle à manger pouvant faire office de chambre, deux chambres, une salle d'eau avec WC et une salle de bains avec WC, une cuisine équipée.
Entrée de service. Gardien.
Clair et calme, soleil.
Proximité transports en commun.
Possibilité emplacement de parking.",2550 €,01 45 66 80 31,Très agréable,45,26/10/2013,4,3,4,4,4,4,4,4,4,3,4,3,4,3
